"id","possui_def","bairro","regiao","rotas","condicao_pontos","condicao_onibus","como_e_assis","existe_fisc","como_e_fisc"
"1","Não","Três Cruzes - São Paulo","Vila Galvão","Sim","Ruim","Ruim","Ruim","Não","Ruim"
"2","Não","Jardim Belvederes","Taboão","Sim","Mediana","Mediana","Mediana","Não","Não sei"
"3","Não","Parque Mikail","Taboão","Sim","Ruim","Mediana","Ruim","Não","Não sei"
"4","Não","Vale dos Machados","Vila Rio","Sim","Mediana","Ruim","Ruim","Não","Não sei"
"5","Não","Jardim São Domingos","Taboão","Sim","Ruim","Ruim","Ruim","Não","Não sei"
"6","Não","Bonsucesso","Pimentas","Sim","Mediana","Boa","Mediana","Não sei","Não sei"
"7","Não","XV de Novembro - São Paulo ","Pimentas","Sim","Mediana","Boa","Boa","Não sei","Não sei"
"8","Não","Jardim Helena","Pimentas","Sim","Mediana","Mediana","Ruim","Não sei","Não sei"
"9","Não","Jardim Bela Vista","Vila Rio","Sim","Mediana","Ruim","Ruim","Não","Não sei"
"10","Não","Gopoúva","Centro","Sim","Ruim","Ruim","Ruim","Não","Não sei"
"11","Não","Ponte Grande","Centro","Sim","Mediana","Mediana","Ruim","Não","Não sei"
"12","Não","Macedo","Centro","Sim","Ruim","Ruim","Ruim","Não","Ruim"
"13","Não","Jardim Pinhal","Centro","Sim","Ruim","Mediana","Ruim","Sim","Ruim"
"14","Não","Pimentas","Pimentas","Sim","Ruim","Mediana","Mediana","Sim","Ruim"
"15","Não","Cumbica","Cumbica","Sim","Mediana","Mediana","Mediana","Não","Não sei"
"16","Não","Jardim Presidente Dutra","Presidente Dutra","Sim","Ruim","Mediana","Mediana","Não","Ruim"
"17","Não","Jardim Alamo","Pimentas","Sim","Ruim","Mediana","Boa","Não","Não sei"
"18","Não","Primavera","Taboão","Sim","Ruim","Mediana","Mediana","Sim","Não sei"
"19","Não","Jardim Presidente Dutra","Presidente Dutra","Sim","Ruim","Ruim","Ruim","Não sei","Ruim"
"20","Não","Recreio São Jorge ","Vila Rio","Sim","Ruim","Ruim","Ruim","Não","Ruim"
"21","Não","Ponte Alta","Pimentas","Sim","Ruim","Mediana","Mediana","Não sei","Ruim"
"22","Não","Parque Mikail","Taboão","Sim","Ruim","Mediana","Não sei/in","Não sei","Não sei"
"23","Não","Jardim Okuyama","Taboão","Sim","Ruim","Mediana","Mediana","Não","Não sei"
"24","Não","Jardim Belvederes","Centro","Não sei","Boa","Boa","Mediana","Não sei","Não sei"
"25","Não","CECAP","CECAP","Sim","Mediana","Mediana","Mediana","Não","Ruim"
"26","Não","Parque Continental 1","Vila Galvão","Sim","Ruim","Ruim","Ruim","Não sei","Não sei"
"27","Não","Jardim Valéria","Vila Rio","Sim","Ruim","Ruim","Ruim","Não","Ruim"
"28","Não","Parque Continental IV","Vila Rio","Sim","Ruim","Ruim","Não sei/in","Não","Não sei"
"29","Não","Jardim Normândia","Pimentas","Sim","Ruim","Boa","Mediana","Sim","Ruim"
"30","Sim","Jardim Normândia","Pimentas","Sim","Ruim","Ruim","Não sei/in","Sim","Ruim"
"31","Não","Ponte Grande","Centro","Sim","Ruim","Ruim","Ruim","Não","Mediana"
"32","Sim","Pimentas","Pimentas","Sim","Ruim","Mediana","Mediana","Não","Não sei"
"33","Não","Picanço","Maia","Não sei","Ruim","Ruim","Ruim","Não","Não sei"
"34","Não","Vila União","Taboão","Sim","Mediana","Mediana","Mediana","Não sei","Não sei"
"35","Não","Bonsucesso","Pimentas","Não","Ruim","Ruim","Ruim","Não","Ruim"
"36","Não","Vila Carmela","Pimentas","Sim","Mediana","Ruim","Ruim","Não","Ruim"
"37","Não","Jardim Adriana","Vila Rio","Não sei","Ruim","Mediana","Ruim","Não sei","Não sei"
"38","Não","Jardim Marilena","Taboão","Sim","Ruim","Ruim","Ruim","Não","Ruim"
"39","Não","Jardim Acacio","Taboão","Não sei","Ruim","Ruim","Ruim","Não","Não sei"
"40","Não","Jardim Angelica","Pimentas","Sim","Ruim","Mediana","Ruim","Não","Ruim"
"41","Não","Cidade Soberana","Taboão","Sim","Ruim","Ruim","Ruim","Não","Não sei"
"42","Não","Jardim Adriana","Vila Rio","Não","Ruim","Ruim","Boa","Não","Não sei"
"43","Não","Jardim Angelica","Pimentas","Sim","Ruim","Mediana","Mediana","Sim","Mediana"
"44","Não","Jardim Bondança","Taboão","Sim","Ruim","Mediana","Mediana","Não","Ruim"
"45","Não","Jardim Fortaleza","CECAP","Sim","Ruim","Mediana","Ruim","Não sei","Não sei"
"46","Não","Jardim São Domingos","Taboão","Sim","Ruim","Mediana","Ruim","Não","Ruim"
"47","Não","Jardim Odete","Taboão","Sim","Ruim","Mediana","Ruim","Não","Não sei"
"48","Não","Continental 2","Maia","Não sei","Ruim","Ruim","Ruim","Não","Ruim"
"49","Não","Santa Inês","Taboão","Sim","Ruim","Ruim","Ruim","Não","Ruim"
"50","Não","Inocoop","Presidente Dutra","Não","Ruim","Ruim","Ruim","Não","Não sei"
"51","Não","Morro Doce - São Paulo","Centro","Não","Ruim","Mediana","Mediana","Não","Ruim"
"52","Não","Cocaia","Vila Rio","Não","Ruim","Ruim","Ruim","Não","Ruim"
"53","Não","Vila Florida","Centro","Sim","Boa","Boa","Mediana","Sim","Mediana"
"54","Não","Água Chata","Pimentas","Sim","Ruim","Ruim","Ruim","Não","Ruim"
"55","Não","Jardim Silvia","Taboão","Sim","Ruim","Ruim","Ruim","Não","Não sei"
"56","Não","Centro","Pimentas","Não","Ruim","Mediana","Ruim","Não","Não sei"
"57","Não","Center Ville","Presidente Dutra","Não","Ruim","Ruim","Ruim","Não sei","Não sei"
"58","Não","Jardim Normândia","Pimentas","Não","Ruim","Ruim","Ruim","Não","Não sei"
"59","Não","Bairro Dos Pimentas","Pimentas","Sim","Mediana","Mediana","Mediana","Não","Ruim"
"60","Não","Jardim Normândia","Pimentas","Sim","Ruim","Mediana","Ruim","Não","Não sei"
